Key,NodeNumber,NodeTime,Music
1,4,3.282871,SoundCue'/Game/Music/Wang_Cue.Wang_Cue'
2,1,0.184955,NONE
3,2,0.493089,NONE
4,3,0.534179,NONE
5,2,0.551349,NONE
6,1,0.59377,NONE
7,4,0.550025,NONE
8,1,0.525447,NONE
9,2,0.59712,NONE
10,3,0.578664,NONE
11,2,0.55021,NONE
12,1,0.533732,NONE
13,4,0.533417,NONE
14,1,0.608334,NONE
15,2,0.528584,NONE
16,3,0.538619,NONE
17,2,0.543299,NONE
18,4,0.59167,NONE
19,1,0.0174999,NONE
20,4,0.433393,NONE
21,1,0.015892,NONE
22,2,0.484666,NONE
23,3,0.0149999,NONE
24,2,0.467352,NONE
25,3,0.0169166,NONE
26,3,0.485127,NONE
27,2,0.0175117,NONE
28,3,0.492323,NONE
29,2,0.0158332,NONE
30,1,0.516663,NONE
31,4,0.0166666,NONE
32,1,0.375313,NONE
33,4,0.016715,NONE
34,4,0.658527,NONE
35,1,0.0166666,NONE
36,4,0.449739,NONE
37,1,0.016694,NONE
38,2,0.500977,NONE
39,3,0.0166666,NONE
40,2,0.442177,NONE
41,3,0.0158332,NONE
42,3,0.633615,NONE
43,2,0.258404,NONE
44,1,0.275526,NONE
45,4,0.293423,NONE
46,1,0.283329,NONE
47,2,0.502314,NONE
48,3,0.275181,NONE
49,2,0.299995,NONE
50,1,0.484196,NONE
51,4,0.61838,NONE
52,1,0.558325,NONE
53,2,0.550018,NONE
54,3,0.0175176,NONE
55,2,0.446472,NONE
56,3,0.0158361,NONE
57,1,0.500076,NONE
58,4,0.0199998,NONE
59,1,0.450403,NONE
60,4,0.0149999,NONE
61,4,0.542238,NONE
62,1,0.338085,NONE
63,2,0.150072,NONE
64,3,0.149998,NONE
65,3,0.545412,NONE
66,2,0.27763,NONE
67,1,0.133331,NONE
68,4,0.275019,NONE
69,4,0.392824,NONE
70,1,0.334055,NONE
71,2,0.135412,NONE
72,3,0.149998,NONE
73,2,0.500893,NONE
74,1,0.208384,NONE
75,4,0.241663,NONE
76,4,0.579077,NONE
77,1,0.0197334,NONE
78,4,0.412275,NONE
79,1,0.0175109,NONE
80,2,0.450819,NONE
81,3,0.0158332,NONE
82,2,0.410807,NONE
83,3,0.0183332,NONE
84,3,0.662483,NONE
85,2,0.550133,NONE
86,1,0.267014,NONE
87,4,1.371174,NONE
88,1,0.508442,NONE
89,2,0.325069,NONE
90,3,1.436794,NONE
91,2,0.458447,NONE
92,1,0.358486,NONE
93,4,0.633858,NONE
94,1,0.244766,NONE
95,2,0.284374,NONE
96,3,0.284187,NONE
97,2,0.242886,NONE
98,1,0.225052,NONE
99,4,0.293659,NONE
100,1,0.219376,NONE
101,2,0.208378,NONE
102,3,0.259361,NONE
103,2,0.225208,NONE
104,1,0.500107,NONE
105,4,0.426247,NONE
106,1,0.344185,NONE
107,2,1.380386,NONE
108,3,0.533508,NONE
109,2,0.374657,NONE
110,2,1.346054,NONE
111,1,0.0108335,NONE
112,3,0.576622,NONE
113,4,0.01,NONE
114,2,0.485607,NONE
115,1,0.0108335,NONE
116,4,0.560711,NONE
117,3,0.01,NONE
118,3,0.55899,NONE
119,4,0.01,NONE
120,1,0.517288,NONE
121,2,0.0108335,NONE
122,4,1.842857,NONE
123,1,0.516792,NONE
124,2,0.170097,NONE
125,3,0.258389,NONE
126,2,0.333508,NONE
127,1,0.493179,NONE
128,4,0.409542,NONE
129,1,0.460514,NONE
130,2,0.565521,NONE
131,3,0.543945,NONE
132,3,0.593842,NONE
133,2,0.552628,NONE
