Key,NodeNumber,NodeTime,Music
1,1,2.154754,SoundCue'/Game/Music/Third_Cue.Third_Cue'
2,2,0.208497,None
3,3,0.208338,None
4,4,0.258339,None
5,3,0.275063,None
6,2,0.216671,None
7,1,0.241672,None
8,1,0.266901,None
9,1,0.250005,None
10,2,0.241729,None
11,3,0.250021,None
12,4,0.208341,None
13,4,0.200021,None
14,4,0.23334,None
15,3,0.225005,None
16,2,0.250004,None
17,1,0.225006,None
18,2,0.308343,None
19,3,0.267405,None
20,4,0.20834,None
21,3,0.225006,None
22,2,0.225005,None
23,1,0.225005,None
24,2,0.250055,None
25,3,0.233337,None
26,4,0.200004,None
27,4,0.241663,None
28,4,0.224997,None
29,3,0.20833,None
30,3,0.233331,None
31,3,0.199997,None
32,2,0.216664,None
33,2,0.183331,None
34,2,0.249996,None
35,2,0.241663,None
36,1,0.224997,None
37,1,0.225015,None
38,1,0.233346,None
39,1,0.216663,None
40,2,0.23333,None
41,3,0.20833,None
42,4,0.216678,None
43,3,0.250272,None
44,2,0.216666,None
45,1,0.216664,None
46,2,0.24201,None
47,3,0.199999,None
48,4,0.21667,None
49,3,0.291663,None
50,2,0.183337,None
51,1,0.241663,None
52,1,0.283329,None
53,2,0.241663,None
54,3,0.191664,None
55,4,0.183331,None
56,3,0.20833,None
57,2,0.191664,None
58,1,0.275224,None
59,2,0.208337,None
60,3,0.216663,None
61,4,0.25835,None
62,3,0.216663,None
63,2,0.216663,None
64,1,0.233612,None
65,2,0.266663,None
66,3,0.20833,None
67,4,0.201185,None
68,3,0.249996,None
69,2,0.249996,None
70,1,0.23333,None
71,2,0.44166,None
72,3,0.24168,None
73,4,0.23333,None
74,3,0.241663,None
75,2,0.20833,None
76,1,0.224997,None
77,2,0.291666,None
78,3,0.191664,None
79,4,0.241663,None
80,3,0.258329,None
81,2,0.23333,None
82,1,0.23333,None
83,2,0.291954,None
84,3,0.258329,None
85,4,0.241762,None
86,3,0.241663,None
87,2,0.216663,None
88,1,0.258329,None
89,2,0.267057,None
90,3,0.191668,None
91,4,0.183331,None
92,3,0.274996,None
93,2,0.191664,None
94,1,0.20833,None
95,2,0.258329,None
96,3,0.241663,None
97,4,0.283525,None
98,3,0.333328,None
99,2,0.191664,None
100,1,0.258329,None
101,2,0.23333,None
102,3,0.216663,None
103,4,0.241663,None
104,4,0.358347,None
105,4,0.174997,None
106,3,0.099998,None
107,2,0.191664,None
108,1,0.216663,None
109,2,0.23333,None
110,3,0.166664,None
111,4,0.216663,None
112,3,0.259094,None
113,2,0.208355,None
114,1,0.241663,None
115,2,0.175791,None
116,3,0.174997,None
117,4,0.183331,None
118,3,0.316824,None
119,2,0.166668,None
120,1,0.224997,None
121,2,0.20833,None
122,3,0.166664,None
123,4,0.20833,None
124,3,0.249996,None
125,2,0.146349,None
126,1,0.266663,None
127,2,0.167816,None
128,3,0.216663,None
129,4,0.166664,None
130,4,0.199997,None
131,3,0.091665,None
132,2,0.158331,None
133,1,0.208378,None
134,2,0.233383,None
135,3,0.183372,None
136,4,0.216713,None
137,3,0.266724,None
138,2,0.200043,None
139,1,0.225048,None
140,2,0.208378,None
141,3,0.208378,None
142,4,0.208645,None
143,3,0.241718,None
144,2,0.166702,None
145,1,0.225048,None
146,2,0.208378,None
147,3,0.133362,None
148,4,0.200043,None
149,3,0.275059,None
150,2,0.166702,None
151,1,0.241718,None
152,2,0.150032,None
153,3,0.158367,None
154,4,0.216713,None
155,3,0.258389,None
156,2,0.158367,None
157,1,0.241718,None
158,2,0.216713,None
159,3,0.091686,None
160,4,0.225048,None
161,3,0.183372,None
162,2,0.183372,None
163,1,0.216713,None
164,3,0.250053,None
165,4,0.216713,None
166,2,0.233429,None
167,1,0.258389,None
168,2,0.183372,None
169,3,0.225048,None
170,4,0.216713,None
171,3,0.266724,None
172,2,0.209198,None
173,1,0.225048,None
174,2,0.183372,None
175,3,0.166702,None
176,4,0.191708,None
177,3,0.241749,None
178,2,0.167034,None
179,1,0.191708,None
180,2,0.225048,None
181,3,0.158367,None
182,4,0.208378,None
183,3,0.241718,None
184,2,0.20005,None
185,1,0.208538,None
186,2,0.325069,None
187,3,0.150032,None
188,4,0.191708,None
189,3,0.200043,None
190,2,0.166702,None
191,1,0.200043,None
192,2,0.250053,None
193,3,0.166702,None
194,4,0.216732,None
195,3,0.225048,None
196,2,0.166702,None
197,1,0.208378,None
198,3,0.225048,None
199,4,0.183372,None
200,2,0.258389,None
201,1,0.241718,None
202,1,0.266838,None
203,1,0.250053,None
204,1,0.175037,None
205,1,0.233383,None
206,2,0.233383,None
207,3,0.183372,None
208,4,0.183372,None
209,3,0.250053,None
210,2,0.183372,None
211,1,0.250053,None
212,2,0.283394,None
213,3,0.175037,None
214,4,0.158367,None
215,3,0.225048,None
216,2,0.125027,None
217,1,0.258751,None
218,2,0.233395,None
219,3,0.183384,None
220,4,0.141697,None
221,3,0.258389,None
222,2,0.175037,None
223,1,0.216713,None
224,1,0.275059,None
225,2,0.183372,None
226,3,0.133362,None
227,4,0.158367,None
228,4,0.291729,None
229,3,0.241718,None
230,2,0.191708,None
231,1,0.233383,None
232,1,0.234871,None
233,2,0.166702,None
234,3,0.141697,None
235,4,0.166702,None
236,4,0.225048,None
237,3,0.258389,None
238,2,0.183372,None
239,1,0.241718,None
240,1,0.216713,None
241,2,0.200096,None
242,3,0.125027,None
243,4,0.183372,None
244,3,0.233383,None
245,2,0.216713,None
246,1,0.287247,None
247,2,0.216713,None
248,3,0.192001,None
249,4,0.191708,None
250,3,0.266724,None
251,2,0.183372,None
252,1,0.23436,None
253,2,0.234776,None
254,3,0.191708,None
255,4,0.191708,None
256,4,0.208378,None
257,3,0.150032,None
258,2,0.208378,None
259,1,0.225067,None
260,1,0.216728,None
261,2,0.225075,None
262,3,0.175495,None
263,4,0.183372,None
264,3,0.216713,None
265,2,0.225048,None
266,1,0.166702,None
267,2,0.225056,None
268,3,0.19323,None
269,4,0.150059,None
270,3,0.308399,None
271,2,0.191708,None
272,1,0.216713,None
273,2,0.2085,None
274,3,0.116692,None
275,4,0.233383,None
276,3,0.225048,None
277,1,0.450241,None
278,2,0.266724,None
279,3,0.166702,None
280,4,0.175037,None
281,3,0.241718,None
282,2,0.166702,None
283,1,0.183372,None
284,1,0.342377,None
285,1,0.208851,None
286,2,0.091644,None
287,3,0.124969,None
288,4,0.19162,None
289,4,0.233276,None
290,3,0.149963,None
291,2,0.174957,None
292,1,0.200447,None
293,1,0.224945,None
294,2,0.174957,None
295,3,0.158295,None
296,4,0.141632,None
297,3,0.208336,None
298,2,0.116638,None
299,1,0.258858,None
300,2,0.216713,None
301,3,0.19162,None
302,4,0.166626,None
303,3,0.216614,None
304,2,0.141632,None
305,1,0.141632,None
306,1,0.266609,None
307,2,0.19162,None
308,3,0.166771,None
309,4,0.166634,None
310,4,0.25827,None
311,4,0.183289,None
312,3,0.166626,None
313,2,0.108307,None
314,1,0.208282,None
315,1,0.224945,None
316,1,0.183289,None
317,2,0.133301,None
318,3,0.141632,None
319,4,0.199951,None
320,4,0.183289,None
321,4,0.216614,None
322,4,0.199951,None
323,4,0.19162,None
324,4,0.133301,None
325,1,0.183289,None
326,1,0.233437,None
327,1,0.19162,None
328,1,0.233276,None
329,1,0.191658,None
330,1,0.149963,None
331,1,0.25827,None
332,2,0.324928,None
333,2,0.199959,None
334,2,0.183289,None
335,2,0.224945,None
336,2,0.208313,None
337,2,0.216614,None
338,3,0.308258,None
339,3,0.341583,None
340,3,0.233429,None
341,4,0.38324,None
342,3,0.278915,None
343,2,0.266602,None
344,1,0.333252,None
345,2,0.25827,None
346,3,0.19162,None
347,3,0.366577,None
348,2,0.50853,None
349,1,0.599922,None
350,4,0.22496,None
351,2,0.475693,None
352,3,0.46656,None
